ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2/12/2010,38,80812,599,Employed,High School,13,22680,60,Married,3,Mortgage,198,0.364852555,3,0,0.341501298,0,Debt Consolidation,0,21,1,4385,815,210986,13257,6734.333333,0.757483819,5,197729,0.22818,0.203116667,604.8211203,0.119213155,1,42.4
2/13/2010,36,28399,567,Employed,High School,13,35025,60,Married,1,Own,581,0.149135283,4,0,0.143647903,1,Education,0,18,22,4977,2766,49240,6818,2366.583333,0.75648241,6,42422,0.256525,0.223253001,973.8415603,0.656998441,0,63
2/14/2010,22,42583,571,Employed,Master,0,7926,36,Divorced,1,Other,260,0.216252923,5,2,0.095039429,0,Debt Consolidation,0,24,2,9388,718,19389,40835,3548.583333,0.843183413,3,4859,0.207426,0.210690533,298.8936704,0.157497688,0,55
2/15/2010,31,62324,586,Self-Employed,Associate,9,55936,120,Divorced,4,Rent,620,0.21259737,5,1,0.670845828,0,Education,0,23,13,6074,67,90909,17775,5193.666667,0.827404265,5,73134,0.317936,0.319585577,1556.10859,0.418992733,0,59
2/16/2010,34,47069,552,Employed,High School,13,14992,72,Married,1,Own,412,0.374020983,5,3,0.235775947,0,Debt Consolidation,0,26,3,1411,550,64264,25520,3922.416667,0.800468902,4,38744,0.253992,0.282920759,434.6455268,0.215847932,0,56
2/17/2010,52,92113,495,Employed,Doctorate,29,18165,48,Single,0,Mortgage,348,0.251361604,1,1,0.463086955,0,Home,0,34,28,10312,2284,144147,49378,7676.083333,0.723312278,5,94769,0.265665,0.249968016,602.26683,0.123795794,1,42.4
2/18/2010,44,68946,642,Employed,Master,21,18494,60,Married,1,Mortgage,553,0.264401533,5,1,0.527324961,0,Education,1,22,29,1075,2346,14285,40974,5745.5,0.744050698,9,8973,0.202494,0.204602433,494.7259625,0.182355924,0,61
2/19/2010,18,35560,606,Employed,Bachelor,0,16063,60,Single,3,Own,432,0.074322389,6,3,0.139781787,0,Auto,0,29,10,6418,1560,40444,35506,2963.333333,0.894786061,6,4938,0.218063,0.179089602,407.0995146,0.283160691,0,47
2/20/2010,43,47333,617,Employed,Master,22,18914,36,Married,0,Own,383,0.180981237,3,0,0.085543472,0,Auto,0,22,29,485,1259,21122,49907,3944.416667,0.88198421,4,10095,0.195414,0.23148063,733.6160848,0.283087762,0,47
2/21/2010,35,38006,564,Employed,High School,13,19552,84,Single,2,Other,264,0.265323455,3,2,0.184022106,0,Debt Consolidation,0,19,20,1967,1503,123722,37299,3167.166667,0.758094886,4,86423,0.262552,0.282809968,536.6303088,0.25279071,0,49
2/22/2010,31,63629,607,Employed,Master,8,20413,72,Widowed,0,Rent,840,0.173294331,5,1,0.073423567,0,Other,0,23,15,5075,2152,162517,3435,5302.416667,0.526307489,6,159082,0.231913,0.215507461,507.4703357,0.254123812,0,42
2/23/2010,47,51983,641,Employed,Bachelor,22,48660,72,Married,2,Rent,244,0.074717854,3,2,0.155628321,0,Home,1,35,25,4638,1447,72205,17806,4331.916667,0.560967129,3,54399,0.24316,0.214882224,1207.899284,0.335163253,0,50
2/24/2010,52,63095,577,Employed,Master,31,15253,36,Single,1,Mortgage,700,0.414659583,4,1,0.200089834,0,Other,0,23,1,810,1269,64162,5236,5257.916667,0.426118606,3,58926,0.211753,0.215293585,578.8117894,0.243216443,0,55
2/25/2010,51,19957,562,Self-Employed,Bachelor,29,55100,24,Married,2,Own,194,0.462118713,4,1,0.149180652,0,Debt Consolidation,0,27,7,3757,5634,18670,20186,1663.083333,0.908320294,4,5139,0.2491,0.250524869,2942.222004,1.885787646,0,57
2/26/2010,29,61650,613,Employed,Associate,8,28929,36,Divorced,0,Own,504,0.119293326,5,4,0.11488896,0,Home,0,27,19,11206,1662,64942,17626,5137.5,0.826063837,5,47316,0.207429,0.201222754,1076.908502,0.307719416,0,46
2/27/2010,36,60549,615,Employed,Bachelor,15,10134,24,Single,0,Own,596,0.207161597,3,2,0.362688448,0,Education,1,23,1,6670,1090,10716,23886,5045.75,0.639648007,7,10691,0.177634,0.162258447,497.2864241,0.216674711,0,61
2/28/2010,43,90795,530,Employed,High School,21,14535,96,Married,0,Mortgage,427,0.112506746,4,1,0.327864727,0,Debt Consolidation,0,28,25,3501,413,417443,44607,7566.25,0.856379168,9,372836,0.284535,0.304976169,405.8814994,0.110078506,1,36.8
3/1/2010,51,49080,573,Employed,Associate,27,13694,84,Single,3,Rent,567,0.11661991,3,1,0.304672441,0,Education,0,26,3,4354,2467,26507,18411,4090,0.8397207,3,8096,0.252194,0.215022773,316.5988619,0.216038842,0,57
3/2/2010,34,15000,578,Employed,High School,14,21782,24,Married,2,Mortgage,730,0.343413727,4,1,0.208294796,0,Auto,0,20,1,1606,1668,50190,39296,1250,0.955355275,4,10894,0.207782,0.222004993,1132.16781,1.489734248,0,58
3/3/2010,37,42702,551,Employed,Master,14,42608,60,Single,0,Rent,547,0.212661745,3,2,0.234043563,0,Auto,0,16,10,4130,845,44439,16347,3558.5,0.527704859,5,28092,0.272108,0.262334119,1281.597853,0.5138676,0,53
3/4/2010,26,35412,487,Employed,High School,7,33092,36,Married,3,Mortgage,937,0.151335615,5,0,0.070110257,0,Home,0,27,1,1583,1083,50590,21549,2951,0.604232664,4,29041,0.274592,0.273801768,1357.746491,0.777616568,0,54
3/5/2010,25,66664,547,Employed,Bachelor,4,13244,12,Married,3,Mortgage,1170,0.233571806,4,1,0.120446766,0,Education,0,20,9,5572,5129,241873,19242,5555.333333,0.933235998,3,222631,0.204744,0.1637952,1204.019344,0.427340576,1,37.6
3/6/2010,49,15000,550,Self-Employed,Associate,27,40437,36,Single,0,Rent,872,0.344260055,1,0,0.504550956,0,Home,0,21,9,162,355,334698,15903,1250,0.958600832,9,318795,0.250437,0.248711492,1605.01368,1.981610944,0,58
3/7/2010,56,75828,633,Employed,Doctorate,30,13075,48,Divorced,2,Rent,569,0.315829753,3,0,0.123931546,0,Debt Consolidation,0,18,22,1011,490,80377,4418,6319,0.772235163,3,75959,0.191575,0.165002084,373.9073079,0.149217805,1,36
3/8/2010,39,75025,611,Unemployed,Associate,17,14100,12,Married,0,Mortgage,336,0.283017501,5,0,0.25353165,0,Debt Consolidation,0,27,22,1686,263,57845,17683,6252.083333,0.906794501,7,40162,0.1736,0.174718972,1289.146774,0.259936838,1,41.6
3/9/2010,52,36860,651,Employed,Bachelor,34,37214,36,Single,1,Mortgage,474,0.251172764,5,0,0.110516401,0,Auto,0,33,17,2485,1560,62828,14732,3071.666667,0.730424324,7,48096,0.196714,0.187596616,1359.599329,0.596939554,0,45
3/10/2010,44,55132,635,Employed,Master,25,36824,60,Married,1,Rent,541,0.443657185,1,1,0.606517865,0,Debt Consolidation,0,20,11,10176,8222,21270,12413,4594.333333,0.90654058,4,8857,0.224324,0.196386981,968.2226863,0.328496558,0,56
3/11/2010,32,29479,594,Employed,Associate,9,33107,36,Divorced,2,Mortgage,227,0.30608869,3,0,0.19745657,0,Debt Consolidation,0,30,15,2254,1209,23704,20282,2456.583333,0.653990096,4,3422,0.221107,0.261004297,1335.673392,0.636116581,0,52
3/12/2010,44,30362,589,Employed,Associate,20,22248,48,Divorced,1,Mortgage,384,0.27650154,1,2,0.123532406,0,Auto,0,24,25,2083,1428,61990,10014,2530.166667,0.943929659,4,51976,0.222748,0.20143826,678.7207298,0.42002005,0,49
3/13/2010,58,50628,659,Employed,Bachelor,35,21216,84,Married,0,Own,247,0.253849699,2,0,0.141279225,0,Debt Consolidation,0,23,16,370,586,34961,79748,4219,0.553762866,1,5889,0.216716,0.20540861,478.060367,0.171855977,0,44
3/14/2010,39,35947,485,Employed,Master,16,12265,12,Married,2,Other,313,0.25948172,1,0,0.238506664,0,Debt Consolidation,0,25,20,3969,489,21645,6081,2995.583333,0.816597152,4,15564,0.234765,0.212204887,1143.338725,0.48616198,1,42.4
3/15/2010,58,80425,579,Employed,Bachelor,33,21890,72,Divorced,4,Mortgage,481,0.21719484,2,2,0.144773915,0,Home,0,21,1,3355,916,65221,42511,6702.083333,0.403898523,0,22710,0.24739,0.203874681,529.2553941,0.150737516,1,42.4
3/16/2010,18,20285,474,Employed,High School,0,15729,48,Single,2,Rent,374,0.260011596,2,0,0.195670477,0,Debt Consolidation,0,24,17,3654,489,19028,14232,1690.416667,0.863452174,4,4796,0.273729,0.243994826,516.2741697,0.526659602,0,52
3/17/2010,49,37301,511,Employed,Master,25,20147,48,Married,1,Rent,302,0.120300057,6,5,0.348184389,0,Home,0,25,29,622,1482,84409,39661,3108.416667,0.794943941,3,44748,0.259647,0.239801732,656.60837,0.308391208,0,54
3/18/2010,41,149214,481,Employed,Associate,22,69388,36,Single,0,Rent,493,0.377548071,5,2,0.248496195,0,Home,0,28,15,1271,857,24926,44041,12434.5,0.734688138,7,4395,0.313888,0.297651425,2936.71131,0.275822213,0,50
3/19/2010,36,98649,550,Employed,Bachelor,15,25892,60,Married,2,Rent,386,0.248937471,3,1,0.368666409,0,Debt Consolidation,0,17,13,6894,164,43873,12669,8220.75,0.799186732,4,31204,0.255892,0.282695226,810.3838952,0.145532208,0,53
3/20/2010,41,17025,623,Employed,Master,22,12653,60,Widowed,2,Mortgage,409,0.266442813,0,1,0.283150317,0,Debt Consolidation,0,15,8,14457,679,34067,8766,1418.75,0.616315842,3,25301,0.206153,0.221477199,350.5256323,0.535348463,0,52
3/21/2010,18,27171,556,Employed,High School,0,41011,36,Married,2,Own,408,0.276540503,4,2,0.26770312,0,Home,0,31,6,5332,417,64470,27452,2264.25,0.948563126,5,37018,0.248011,0.297488124,1735.344109,0.946602234,0,56
3/22/2010,37,47856,546,Unemployed,Bachelor,15,43105,36,Married,3,Own,481,0.015414187,3,1,0.192203119,0,Home,0,25,14,3766,2644,102100,292818,3988,0.865326708,1,10730,0.255105,0.229640398,1667.774757,0.53881012,0,53
3/23/2010,44,68579,609,Employed,Bachelor,21,45127,60,Single,2,Other,179,0.232534998,3,2,0.339756555,0,Home,0,30,28,1834,261,394622,4682,5714.916667,0.697984843,7,389940,0.245627,0.269531063,1376.703191,0.272218001,0,45
3/24/2010,57,20927,513,Employed,Master,34,17355,48,Single,3,Rent,410,0.525379077,3,1,0.493121519,0,Education,1,26,20,4457,179,226027,22548,1743.916667,0.838233912,8,203479,0.255855,0.273230299,598.1552416,0.578098289,0,61
3/25/2010,33,75067,554,Employed,High School,12,20833,36,Single,1,Mortgage,900,0.069073986,4,0,0.125627152,0,Education,0,27,19,2193,266,48089,55474,6255.583333,0.793538876,1,2888,0.228833,0.204623872,779.1458836,0.26842355,1,39.2
3/26/2010,30,81834,523,Employed,Associate,8,11721,48,Divorced,0,Mortgage,111,0.200005217,4,3,0.480669536,0,Auto,0,25,27,1418,3220,107025,34025,6819.5,0.835806298,1,73000,0.245221,0.249264016,388.15372,0.073195061,1,42.4
3/27/2010,33,77155,542,Employed,Master,13,48033,36,Married,0,Rent,334,0.146109355,4,0,0.04941132,0,Auto,0,17,25,1945,465,20388,23803,6429.583333,0.876023666,6,3321,0.262033,0.26109946,1938.093678,0.35338117,0,49
3/28/2010,50,96858,576,Employed,High School,25,23436,36,Single,3,Mortgage,430,0.147451605,4,2,0.149635824,0,Home,0,10,8,3467,1175,380243,15147,8071.5,0.899766017,3,365096,0.220436,0.196126118,866.3467313,0.160607908,1,34.4
3/29/2010,43,54650,596,Employed,High School,21,11101,60,Married,2,Own,228,0.801980571,7,0,0.400478976,0,Home,0,32,9,1947,3164,103501,10055,4554.166667,0.913106129,7,93446,0.218101,0.234911252,316.082726,0.119469217,0,58
3/30/2010,33,74607,611,Employed,Doctorate,11,50355,48,Divorced,1,Mortgage,182,0.276732343,2,2,0.537270141,0,Auto,0,15,15,2145,230,39521,21902,6217.25,0.92599201,6,17619,0.239855,0.255279571,1684.489177,0.300211376,0,55
3/31/2010,46,116665,574,Employed,High School,20,15689,60,Single,0,Mortgage,324,0.283896392,2,0,0.23000796,0,Other,0,17,23,17841,4939,53151,13997,9722.083333,0.83880085,5,39154,0.233689,0.241690104,452.8810219,0.079908904,1,40.8
4/1/2010,41,134020,617,Employed,Doctorate,21,18082,72,Single,3,Rent,300,0.178531572,2,2,0.075784138,0,Education,0,26,13,1421,3001,14689,11984,11168.33333,0.587894466,3,2705,0.224582,0.194444005,427.3113693,0.065122642,1,35.2
4/2/2010,51,27403,615,Employed,High School,31,13052,96,Married,1,Rent,570,0.151636037,3,1,0.41190333,0,Debt Consolidation,0,20,18,1900,925,152014,69567,2283.583333,0.861776061,4,82447,0.240552,0.2886624,349.6634362,0.402728214,0,52
4/3/2010,31,54384,500,Employed,Associate,11,12046,36,Single,0,Own,300,0.199181946,4,0,0.168741,0,Education,0,22,15,3396,685,23707,12979,4532,0.78420727,3,10728,0.247046,0.26753045,490.1859765,0.174357012,0,49
4/4/2010,36,33872,603,Employed,Bachelor,14,26763,60,Married,0,Mortgage,521,0.347900853,5,1,0.070909415,1,Auto,0,15,5,1003,846,35490,50767,2822.666667,0.764030826,7,7416,0.230263,0.230469327,755.1834086,0.452119772,0,62
4/5/2010,35,63027,509,Employed,Bachelor,12,15548,60,Widowed,4,Mortgage,451,0.241687688,3,1,0.105075163,0,Home,0,15,9,6804,195,56526,3892,5252.25,0.851917609,4,52634,0.266048,0.250504038,456.8139323,0.172842864,1,39.2
4/6/2010,22,50460,464,Employed,Bachelor,0,10275,84,Married,0,Rent,576,0.123665445,2,2,0.143541793,0,Auto,1,22,28,2544,308,51519,11056,4205,0.802351564,5,40463,0.303275,0.305944609,297.9114896,0.207826751,0,55
4/7/2010,43,22501,462,Employed,Bachelor,15,36151,84,Married,1,Rent,337,0.310347987,5,2,0.273966501,0,Home,0,24,19,4115,688,124318,17476,1875.083333,0.926129004,7,106842,0.330151,0.333384038,1116.031378,0.774915628,0,50
4/8/2010,43,53683,602,Employed,Master,25,28327,72,Married,2,Rent,372,0.523387294,2,2,0.244876037,0,Debt Consolidation,0,24,14,1196,2208,115367,182062,4473.583333,0.74787173,4,4546,0.242327,0.234323311,736.0288421,0.24768262,0,50
4/9/2010,40,50907,586,Employed,High School,16,53847,60,Single,1,Rent,698,0.578289049,4,2,0.302968467,0,Auto,0,31,15,3361,393,39151,178454,4242.25,0.847854123,5,5452,0.265847,0.214929238,1471.712758,0.511453299,0,55
4/10/2010,37,32475,460,Employed,Associate,16,18281,36,Divorced,1,Rent,764,0.089790452,5,0,0.252143,0,Home,1,29,2,12609,267,74617,103554,2706.25,0.486230967,5,1177,0.273281,0.27861985,754.8053108,0.561221362,0,62
4/11/2010,23,46917,530,Employed,High School,2,22471,36,Single,3,Own,940,0.506267481,6,1,0.217736516,0,Home,0,23,17,5200,570,10344,25838,3909.75,0.797171726,5,7283,0.242471,0.244098036,886.4437534,0.467151034,0,54
4/12/2010,34,69344,581,Employed,Bachelor,13,24484,60,Divorced,5,Own,233,0.330689744,4,1,0.182746528,0,Other,0,29,14,454,3198,195823,36830,5778.666667,0.836720971,4,158993,0.238984,0.231440761,692.2437217,0.160113704,1,36.8
4/13/2010,35,37282,548,Self-Employed,High School,14,23618,24,Single,1,Mortgage,259,0.16910117,2,2,0.460807543,0,Home,0,21,17,6694,1129,12314,6705,3106.833333,0.815659683,6,5609,0.224618,0.239194317,1247.760042,0.484982579,0,59
4/14/2010,30,46383,511,Self-Employed,Associate,4,24973,36,Widowed,1,Rent,477,0.482533431,4,2,0.276992266,0,Home,0,29,20,2510,4509,58368,133862,3865.25,0.922722,10,6591,0.254473,0.27804407,1030.335774,0.389971095,0,57
4/15/2010,38,122634,458,Employed,Associate,14,18761,96,Married,1,Rent,341,0.522759356,2,2,0.118697757,0,Home,0,25,11,1478,2738,172959,45552,10219.5,0.920785714,6,127407,0.324761,0.353810807,589.3693689,0.091038639,0,45
4/16/2010,44,62949,562,Unemployed,High School,21,8945,108,Single,1,Rent,143,0.521243833,0,0,0.151116645,0,Debt Consolidation,0,29,4,410,984,66785,38195,5245.75,0.779501518,4,28590,0.272945,0.24944782,208.5470887,0.067015601,0,57
